OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length,GlobalID
1,2,100030393,Rhyolite Track,OPEN,Tramping Track,2239.71483025014,758caa01-f2bf-43dc-b074-df1eebdd2eca
2,6,100030166,OTAKI RIVER TRACK,OPEN,Tramping Track,517.613295710912,bd1ff184-0da4-4aed-9e3d-9b00897c2ab3
3,2,100104089,SCHOOLHOUSE FLAT TRACK,OPEN,Tramping Track,1319.72556573415,d7c97787-9937-4128-8489-1fca9df17a0e
4,2,100044907,LONG GULLY LOOP TRACK,OPEN,Tramping Track,6686.12173715576,e0d2fced-712d-4879-a041-58c6307bb500
5,6,100066279,MT SHRIMPTON TRACK,OPEN,Tramping Track,3098.48349375144,937a863b-2e94-4703-98f5-d6d30d2d6071
6,2,100044366,PAPAITONGA TRACK,OPEN,Walking Track,1172.16948812166,d17a9516-18d3-4c92-b6de-7f71a5130e93
7,2,100066183,RONGOMAI TRACK (W. OKATAINA W/WAY TO L.,OPEN,Walking Track,1939.45194357227,bc6a4ea1-4aca-46a4-8f3a-c0dcfe77de3b
8,2,100066471,Opopo Bay Track,OPEN,Walking Track,1875.98412250452,1f107852-dec4-4f8c-9169-b6f5430ea962
9,4,100045618,Hooks Bay Track,OPEN,Walking Track,2277.68366139887,cfd80950-7273-4a3d-a498-001dfb43459c
10,2,100066316,W.OKATAINA W/WAY - OEC TO NGAPUKA BAY,OPEN,Tramping Track,3678.16766693905,2fd3fc84-30ae-47c6-b987-ab863d1c43a4
11,6,100121057,Gorman Track High Easement,OPEN,Route,4237.30147163741,fb24e987-0036-47e1-ad69-f773f8ca51dc
12,6,100121058,Gorman Track Low Easement,OPEN,Route,774.252786445134,46789262-883d-4032-bbe8-b1ec130840ba
13,2,100044533,KEA POINT TRACK,OPEN,Walking Track,1833.88444338797,3bc1be12-fed4-4fb8-8012-7073174f0f8c
14,6,100045263,Mid Wairoa Hut to Top Wairoa Hut,OPEN,Tramping Track,6795.02914647497,c30d5dd2-1afd-4e9a-96c8-57790d7e5afa
15,2,100093352,Big Slip Lookout track,CLSD,Walking Track,290.891908900981,7ef51eca-386c-4733-b464-4c2b481c665c
16,6,100031496,OKAHUKURA LOOP TRACK,OPEN,Tramping Track,15303.1392005206,e5e1ea79-fc6c-43bc-ac1d-dc06d58e609c
17,6,100031504,MANGAKAHU TRACK,OPEN,Tramping Track,950.133546178696,72b5cd20-f9ea-41ca-9a9e-02935d1beb6c
18,5,100031506,Britannia Track,OPEN,Walking Track,4194.88615296324,b8fe3e94-3c53-4c1f-a829-1793c32768d2
19,2,100031507,Coal Creek Walking Track,OPEN,Walking Track,1699.13985350698,3c0d9b12-4f83-4e25-827c-6aed220158d5
20,2,100031508,Lake Kaniere Walkway,OPEN,Walking Track,10076.010772718,314392ed-5c16-444d-a4af-fb08df4d316f
21,2,100031509,DOLAMORE TK,OPEN,Walking Track,1932.96762156586,cddb5b2c-68dd-4912-82dd-ec7616c89833
22,2,100031510,GLORY TK,OPEN,Walking Track,1995.24459586531,e4cb567e-49d7-4733-9502-d7c4671e1a48
23,2,100031511,MONOWAI LOOKOUT TK,OPEN,Walking Track,1196.37160443389,77303ca2-3de4-4022-b02c-4cbd8939847c
24,2,100031512,"LILLIAN'S LOOP TRACK, TUATAPERE",OPEN,Walking Track,525.793329680598,5a034acc-649f-4a05-bbae-12f218ff55c7
25,2,100031513,TRACK - DEEP BAY,OPEN,Walking Track,343.865633650037,4ae1848b-f81e-4b71-b0c1-9b28c0527438
26,2,100031514,TRACK - ACKERS POINT,OPEN,Walking Track,1274.58668925816,41dbb0d3-9f47-4c55-87c1-f1ca92da0478
27,5,100031515,TE ANA-AU CAVE TRACK,OPEN,Walking Track,136.235889476128,d51020ad-20b0-4b53-94c0-3fb14c29b980
28,6,100031516,TE WAIKOROPUPU SPRINGS WALK,OPEN,Short Walk(disabled),1032.23614821798,bcc24031-e897-4d8d-bb8d-9c12810285fa
29,2,100031517,HONEYDEW TRACK,OPEN,Short Walk,1205.26936520229,0caa7126-5f56-4415-b9b0-65045db494a2
30,6,100031518,TRAINS TK,OPEN,Tramping Track,12327.6408155215,84989296-b1ca-4048-be0c-a2d30d91fdab
31,6,100031519,TRAINS TO TAHUPO ROUTE,OPEN,Route,8530.81495829112,c7ed7563-2224-49d5-a177-d1579f97c542
32,6,100031520,HIHITAHI FOREST SANCTUARY TK (TO ZEKES H,OPEN,Tramping Track,10403.133371589,c1ef3029-3db2-420d-a3cf-ca1c5d1704e4
33,2,100031523,BARTRUMS SWINGBRDG TO BRIDGE TO NOWHERE,CLSD,Tramping Track,8212.46611220972,33d8b6dd-93fb-4a58-abde-2e37a53b5078
34,2,100031524,KAIWHAKAUKA TK - WHAKAHORO HUT TO PARK B,OPEN,Tramping Track,6803.16583817432,bfc97462-c46f-49b0-aa84-dc64fae08013
